epoch,loss,lr,psnr_metric,ssim_metric,val_loss,val_psnr_metric,val_ssim_metric
0,0.10330279171466827,1e-04,18.530622482299805,0.8149624466896057,0.09537229686975479,17.874147415161133,0.83143150806427
1,0.07635687291622162,1e-04,20.72443389892578,0.8625190258026123,0.07865191996097565,17.76771354675293,0.8637532591819763
2,0.07027067244052887,1e-04,21.141523361206055,0.8727951049804688,0.08615931123495102,18.910449981689453,0.8446498513221741
3,0.06562795490026474,1e-04,21.56879425048828,0.8812152743339539,0.06913595646619797,21.733156204223633,0.8738937377929688
4,0.06395693868398666,1e-04,21.71175193786621,0.8842366337776184,0.08800624310970306,17.21488380432129,0.847895085811615
5,0.06235090270638466,1e-04,21.971126556396484,0.8870700597763062,0.06342559307813644,21.607311248779297,0.8862393498420715
6,0.062483418732881546,1e-04,21.925710678100586,0.8867822289466858,0.07532148063182831,18.811418533325195,0.8665469288825989
7,0.061218392103910446,1e-04,22.16261863708496,0.8889188170433044,0.0603712759912014,22.39012336730957,0.8906968235969543
8,0.060797713696956635,1e-04,22.2493896484375,0.8896535038948059,0.06521937996149063,21.594215393066406,0.8820816278457642
9,0.06008005142211914,1e-04,22.305925369262695,0.8910252451896667,0.0658966600894928,21.983200073242188,0.8806626796722412
10,0.05881691351532936,1e-04,22.491058349609375,0.8932087421417236,0.06534930318593979,22.584543228149414,0.8805261850357056
11,0.05870082229375839,1e-04,22.5457820892334,0.8933538198471069,0.06787809729576111,21.785768508911133,0.8769904971122742
12,0.05840286239981651,1e-04,22.576828002929688,0.8938117027282715,0.05949141085147858,22.669458389282227,0.8918879628181458
13,0.058145251125097275,1e-04,22.651514053344727,0.8942264914512634,0.06562098115682602,21.836816787719727,0.8802936673164368
14,0.05764780566096306,1e-04,22.749387741088867,0.8950968384742737,0.07175905257463455,18.856300354003906,0.8735635280609131
15,0.057716064155101776,1e-04,22.715715408325195,0.8949106931686401,0.07974797487258911,17.480224609375,0.8628571033477783
16,0.05753370746970177,1e-04,22.700407028198242,0.8952823877334595,0.06938058882951736,20.359222412109375,0.8747324347496033
17,0.05649419128894806,1e-04,22.970449447631836,0.8970699906349182,0.07058709114789963,21.299442291259766,0.8722795844078064
18,0.05671637877821922,1e-04,22.89313507080078,0.8966687321662903,0.06456920504570007,22.957162857055664,0.8816198110580444
19,0.055014435201883316,5e-05,23.182226181030273,0.8996516466140747,0.057291772216558456,22.974273681640625,0.896515965461731
20,0.0549292154610157,5e-05,23.25311851501465,0.8996410965919495,0.07238638401031494,19.680801391601562,0.8701820373535156
21,0.054905883967876434,5e-05,23.271324157714844,0.8997476100921631,0.07832958549261093,18.161691665649414,0.8632771372795105
22,0.05453874170780182,5e-05,23.366928100585938,0.9003884196281433,0.07007357478141785,19.76807975769043,0.8743753433227539
23,0.0547492578625679,5e-05,23.272233963012695,0.8999696373939514,0.06065122038125992,21.265287399291992,0.8907386660575867
24,0.05416809767484665,5e-05,23.40463638305664,0.9010090827941895,0.07462184876203537,19.790285110473633,0.8652732372283936
25,0.05475105717778206,5e-05,23.279272079467773,0.8999027609825134,0.05472871661186218,23.544681549072266,0.9003714919090271
26,0.05424230545759201,5e-05,23.37479019165039,0.9008051753044128,0.07117024064064026,19.734718322753906,0.8731253147125244
27,0.054287977516651154,5e-05,23.369966506958008,0.900735080242157,0.05485358461737633,23.401506423950195,0.9002717137336731
28,0.054054588079452515,5e-05,23.38235092163086,0.9011852145195007,0.05516155809164047,23.454010009765625,0.8994535803794861
29,0.053867727518081665,5e-05,23.449764251708984,0.901515007019043,0.05931166186928749,22.477447509765625,0.8930581212043762
30,0.05367163568735123,5e-05,23.49341583251953,0.9018261432647705,0.05909239128232002,23.199045181274414,0.8920596241950989
31,0.05401469022035599,5e-05,23.46541976928711,0.9011636972427368,0.07302366942167282,20.248374938964844,0.8676906228065491
32,0.05303394794464111,2.5e-05,23.68662452697754,0.9027991890907288,0.06294794380664825,20.263492584228516,0.887767493724823
33,0.05271240696310997,2.5e-05,23.651826858520508,0.9034321308135986,0.07011737674474716,20.024438858032227,0.8741533756256104
34,0.05305393040180206,2.5e-05,23.67732810974121,0.9027122259140015,0.06891769915819168,19.719472885131836,0.8769004940986633
35,0.05300711840391159,2.5e-05,23.649255752563477,0.9028249382972717,0.0699911043047905,20.075735092163086,0.8741589188575745
36,0.05242110416293144,2.5e-05,23.81266975402832,0.9038727879524231,0.055528540164232254,23.32292366027832,0.8987480998039246
37,0.052875395864248276,2.5e-05,23.671518325805664,0.9030365943908691,0.05780826881527901,22.52279281616211,0.8946067690849304
38,0.052181899547576904,1.25e-05,23.794422149658203,0.9041911363601685,0.06491705030202866,20.255111694335938,0.883819043636322
39,0.05208825692534447,1.25e-05,23.910524368286133,0.9043183326721191,0.05452127754688263,23.961578369140625,0.9002549052238464
40,0.05220644921064377,1.25e-05,23.91424560546875,0.9041211605072021,0.06274810433387756,20.719865798950195,0.8875009417533875
41,0.05219746008515358,1.25e-05,23.94074821472168,0.9041299819946289,0.05511385202407837,23.26685333251953,0.8992376327514648
42,0.05204117298126221,1.25e-05,23.91010093688965,0.9043891429901123,0.05519634485244751,23.97926139831543,0.8988679051399231
43,0.05160646513104439,1.25e-05,24.005483627319336,0.905204713344574,0.05629187449812889,23.884517669677734,0.8968244194984436
44,0.052036114037036896,1.25e-05,23.91900062561035,0.9044111967086792,0.052959028631448746,24.00516128540039,0.9033530950546265
45,0.05212060362100601,1.25e-05,23.84983253479004,0.9042381048202515,0.07004448026418686,20.01839828491211,0.8739674091339111
46,0.05166694149374962,1.25e-05,23.911182403564453,0.9050923585891724,0.0685509443283081,19.51331901550293,0.8785393834114075
47,0.05201168358325958,1.25e-05,23.869430541992188,0.9044773578643799,0.05425554886460304,23.827173233032227,0.9014411568641663
48,0.051763903349637985,1.25e-05,23.932083129882812,0.9049437642097473,0.06820862740278244,19.83441734313965,0.8780639171600342
49,0.0514468215405941,1.25e-05,24.09031105041504,0.905336320400238,0.06038470193743706,21.697654724121094,0.8903839588165283
50,0.051938414573669434,1.25e-05,23.950786590576172,0.9045249223709106,0.06677626073360443,20.03665542602539,0.8809182047843933
51,0.051288899034261703,6.25e-06,24.007078170776367,0.9057126045227051,0.053892266005277634,23.965364456176758,0.9016106724739075
52,0.051952164620161057,6.25e-06,23.98980712890625,0.9043696522712708,0.05735855922102928,21.81661605834961,0.896314263343811
53,0.05135829374194145,6.25e-06,24.084962844848633,0.9055331945419312,0.05308607593178749,24.349206924438477,0.9026897549629211
54,0.05142245069146156,6.25e-06,24.08360481262207,0.9053949117660522,0.054608024656772614,24.05019760131836,0.8998384475708008
55,0.051517046988010406,6.25e-06,24.040781021118164,0.9052290916442871,0.06252157688140869,21.065204620361328,0.8872759938240051
56,0.05169171839952469,6.25e-06,23.993764877319336,0.9048905372619629,0.053233493119478226,24.345373153686523,0.9025557637214661
57,0.05146673321723938,3.125e-06,24.082427978515625,0.9052640795707703,0.05446263775229454,24.260128021240234,0.900153398513794
58,0.050890348851680756,3.125e-06,24.131908416748047,0.9063701033592224,0.058028001338243484,22.487512588500977,0.8941226005554199
59,0.05118202790617943,3.125e-06,24.08167839050293,0.90580153465271,0.05360308289527893,24.270442962646484,0.9018123745918274
