filename,true_label,ssim_original,psnr_original,brisque_original,ssim_clahe,psnr_clahe,brisque_clahe,composite_clahe,ssim_cnn,psnr_cnn,brisque_cnn,composite_cnn,winner
00001381_008.png,Fair,1.0,100.0,-1.0,0.8686726312831138,20.086841445517454,-1.0,0.5081637840773852,0.9478606371022118,21.006845477499034,-1.0,0.5471990186608771,CNN
00001373_042.png,Poor,1.0,100.0,-1.0,0.8446350599640704,20.43710663042574,-1.0,0.5013508770290341,0.9667644766771541,24.19368757228127,-1.0,0.5802552912491119,CNN
00001373_030.png,Fair,1.0,100.0,-1.0,0.8429732549622524,19.696531176045024,-1.0,0.49476155139326117,0.9773990569069392,25.91080906936556,-1.0,0.5982460953177002,CNN
00001362_010.png,Fair,1.0,100.0,-1.0,0.8294850840012122,19.397801132755223,-1.0,0.4869764426625267,0.9711333642314899,20.52902820310997,-1.0,0.5526855713174758,CNN
00001373_017.png,Poor,1.0,100.0,-1.0,0.8409409356640648,20.06073684448973,-1.0,0.4968622690215438,0.970921747062459,25.91131881598013,-1.0,0.5956592493528248,CNN
00001365_000.png,Fair,1.0,100.0,-1.0,0.884832412042315,21.737669863761187,-1.0,0.5278343237270156,0.9737379880248592,23.677360481181164,-1.0,0.578914079059393,CNN
00001404_008.png,Fair,1.0,100.0,-1.0,0.8722661704598003,20.96908959971696,-1.0,0.5166591849816558,0.9710572987380961,21.119228109947183,-1.0,0.5573767443748159,CNN
00001362_016.png,Fair,1.0,100.0,-1.0,0.8388807619860826,20.959693870406507,-1.0,0.5032298557576852,0.9735650113846647,21.413194176343264,-1.0,0.560731557964612,CNN
00001369_000.png,Fair,1.0,100.0,-1.0,0.9033242681050079,23.583957601581055,-1.0,0.5500013680546516,0.9780720391445527,22.523955111989906,-1.0,0.5714204565537404,CNN
00001373_054.png,Poor,1.0,100.0,-1.0,0.8510652417271491,20.632227942650466,-1.0,0.5054839202320633,0.9745191775631225,23.530167299046912,-1.0,0.5780490094176243,CNN
00001373_015.png,Fair,1.0,100.0,-1.0,0.8573582504038643,20.775822733800354,-1.0,0.5091498820319486,0.9753281790689227,24.499726965293412,-1.0,0.5861290873499164,CNN
00001355_000.png,Fair,1.0,100.0,-1.0,0.8472149913233161,21.72714172930434,-1.0,0.5127031303637613,0.9728070761737277,21.39860437840527,-1.0,0.5603116654967333,CNN
00001364_003.png,Fair,1.0,100.0,-1.0,0.8708415031433687,21.258374782985364,-1.0,0.5184035995212304,0.9658750225545917,26.959911670559435,-1.0,0.6020293023863121,CNN
00001367_003.png,Fair,1.0,100.0,-1.0,0.88591661652699,21.662944986281598,-1.0,0.5276702065010488,0.9269383490964647,16.2504458589582,-1.0,0.5007789065102515,CLAHE
00001341_000.png,Fair,1.0,100.0,-1.0,0.815226849420019,19.988256930701642,-1.0,0.48599679521362077,0.9704541529235661,23.38031862235625,-1.0,0.5752242101482764,CNN
00001338_002.png,Fair,1.0,100.0,-1.0,0.811252975227055,21.920876063248237,-1.0,0.4998681985968079,0.9606705675753267,23.468440025781465,-1.0,0.5720157472363825,CNN
00001373_049.png,Fair,1.0,100.0,-1.0,0.8537805466126048,20.66858310909275,-1.0,0.5068608835177839,0.9724860396554241,22.15525235526072,-1.0,0.5662364347042554,CNN
00001373_011.png,Fair,1.0,100.0,-1.0,0.8476934215810015,20.447010309999524,-1.0,0.5026534511123968,0.9700601663317796,25.40120697150501,-1.0,0.591233722304752,CNN
00001362_001.png,Poor,1.0,100.0,-1.0,0.9398574853750334,25.114507354115695,-1.0,0.5768590529829389,0.9694407631116164,27.926575454001448,-1.0,0.6111889088766581,CNN
00001373_031.png,Fair,1.0,100.0,-1.0,0.8365410616261615,19.788446329648565,-1.0,0.4929239952876531,0.9746188574535283,28.732892006993012,-1.0,0.6197106790373554,CNN
00001355_006.png,Fair,1.0,100.0,-1.0,0.8696006304790485,21.179906626924932,-1.0,0.5172795052070189,0.9626911856341394,24.687127875537428,-1.0,0.5825734972579553,CNN
00001385_016.png,Fair,1.0,100.0,-1.0,0.8931945902024129,21.884025445750524,-1.0,0.5323500396469694,0.9788604844239616,23.87327033745131,-1.0,0.5825303564691952,CNN
00001362_005.png,Poor,1.0,100.0,-1.0,0.9324003175664819,25.851375010232896,-1.0,0.5797711271084559,0.9647578828050869,27.106792299586388,-1.0,0.6027574915187259,CNN
00001395_009.png,Fair,1.0,100.0,-1.0,0.9082449449925898,23.100789600655066,-1.0,0.5481042948022765,0.9576494173210672,26.6679624434872,-1.0,0.5964034664763245,CNN
00001365_002.png,Fair,1.0,100.0,-1.0,0.8725530851095059,22.22486527486986,-1.0,0.5268201562427612,0.970359714930001,24.27306077979889,-1.0,0.5823283722103916,CNN
00001381_006.png,Fair,1.0,100.0,-1.0,0.8495963632494727,20.34427020225278,-1.0,0.5025927069178113,0.9583858273243976,23.16490209215628,-1.0,0.5686735476670093,CNN
00001362_014.png,Poor,1.0,100.0,-1.0,0.8652867983953223,21.61936216118506,-1.0,0.5190696166476094,0.9461349507457071,22.72298191250192,-1.0,0.5602378355982982,CNN
00001367_002.png,Fair,1.0,100.0,-1.0,0.8630718326230601,21.078714159341068,-1.0,0.5138584463239526,0.9747176466093254,29.03684587427947,-1.0,0.622181825637966,CNN
